Fiscal Year,Region,Age Group,Race Ethnicity,Gender,Alleged Victims in Initial Investigation,Alleged Victims in Repeat Investigation,Recidivism
2019,2-Abilene,18-64 with Disabilities,Hispanic,Female,109,16,0.14679
2019,2-Abilene,18-64 with Disabilities,Hispanic,Male,101,17,0.16832
2019,2-Abilene,18-64 with Disabilities,Hispanic,Unknown,2,0,0
2019,2-Abilene,18-64 with Disabilities,Native American,Female,4,3,0.75
2019,2-Abilene,18-64 with Disabilities,Native American,Male,9,2,0.22222
2019,2-Abilene,18-64 with Disabilities,Other,Female,194,49,0.25258
2019,2-Abilene,18-64 with Disabilities,Other,Male,116,25,0.21552
2019,2-Abilene,18-64 with Disabilities,Other,Unknown,3,0,0
2019,2-Abilene,65 and Older,African American,Female,116,35,0.30172
2019,2-Abilene,65 and Older,African American,Male,84,27,0.32143
2019,2-Abilene,65 and Older,African American,Unknown,1,1,1
2019,2-Abilene,65 and Older,Anglo,Female,"1,121",257,0.22926
2019,2-Abilene,65 and Older,Anglo,Male,756,151,0.19974
2019,2-Abilene,65 and Older,Anglo,Unknown,6,2,0.33333
2019,2-Abilene,65 and Older,Asian,Female,7,2,0.28571
2019,2-Abilene,65 and Older,Asian,Male,1,0,0
2019,2-Abilene,65 and Older,Asian,Unknown,1,0,0
2019,2-Abilene,65 and Older,Hispanic,Female,162,39,0.24074
2019,2-Abilene,65 and Older,Hispanic,Male,120,31,0.25833
2019,2-Abilene,65 and Older,Hispanic,Unknown,4,1,0.25
2019,2-Abilene,65 and Older,Native American,Female,2,1,0.5
2019,2-Abilene,65 and Older,Native American,Male,1,1,1
2019,2-Abilene,65 and Older,Other,Female,282,74,0.26241
2019,2-Abilene,65 and Older,Other,Male,161,40,0.24845
2019,2-Abilene,65 and Older,Other,Unknown,2,1,0.5
2019,3-Arlington,18-64 with Disabilities,African American,Female,935,105,0.1123
2019,3-Arlington,18-64 with Disabilities,African American,Male,802,74,0.09227
2019,3-Arlington,18-64 with Disabilities,African American,Unknown,12,4,0.33333
2019,3-Arlington,18-64 with Disabilities,Anglo,Female,"1,851",202,0.10913
2019,3-Arlington,18-64 with Disabilities,Anglo,Male,"1,451",136,0.09373
2019,3-Arlington,18-64 with Disabilities,Anglo,Unknown,20,3,0.15
2019,3-Arlington,18-64 with Disabilities,Asian,Female,37,3,0.08108
2019,3-Arlington,18-64 with Disabilities,Asian,Male,37,2,0.05405
2019,3-Arlington,18-64 with Disabilities,Hispanic,Female,312,31,0.09936
2019,3-Arlington,18-64 with Disabilities,Hispanic,Male,317,21,0.06625
2019,3-Arlington,18-64 with Disabilities,Hispanic,Unknown,6,1,0.16667
2019,3-Arlington,18-64 with Disabilities,Native American,Female,10,2,0.2
2019,3-Arlington,18-64 with Disabilities,Native American,Male,18,4,0.22222
2019,3-Arlington,18-64 with Disabilities,Other,Female,544,72,0.13235
2019,3-Arlington,18-64 with Disabilities,Other,Male,430,42,0.09767
2019,3-Arlington,18-64 with Disabilities,Other,Unknown,11,1,0.09091
2019,3-Arlington,65 and Older,African American,Female,"1,413",214,0.15145
2019,3-Arlington,65 and Older,African American,Male,806,106,0.13151
2019,3-Arlington,65 and Older,African American,Unknown,12,4,0.33333
2019,3-Arlington,65 and Older,Anglo,Female,"4,570",711,0.15558
2019,3-Arlington,65 and Older,Anglo,Male,"2,841",393,0.13833
2019,3-Arlington,65 and Older,Anglo,Unknown,42,9,0.21429
2019,3-Arlington,65 and Older,Asian,Female,104,14,0.13462
2019,3-Arlington,65 and Older,Asian,Male,65,6,0.09231
2019,3-Arlington,65 and Older,Asian,Unknown,2,0,0
2019,3-Arlington,65 and Older,Hispanic,Female,611,75,0.12275
2019,3-Arlington,65 and Older,Hispanic,Male,407,48,0.11794
2019,3-Arlington,65 and Older,Hispanic,Unknown,1,1,1
2019,3-Arlington,65 and Older,Native American,Female,11,3,0.27273
2019,3-Arlington,65 and Older,Native American,Male,10,2,0.2
2019,3-Arlington,65 and Older,Other,Female,"1,408",172,0.12216
2019,3-Arlington,65 and Older,Other,Male,800,73,0.09125
2019,3-Arlington,65 and Older,Other,Unknown,37,2,0.05405
2019,3-Arlington,Under 18,African American,Male,1,0,0
2019,3-Arlington,Under 18,Anglo,Female,1,0,0
2019,3-Arlington,Unknown,African American,Female,1,1,1
2019,3-Arlington,Unknown,Anglo,Female,1,1,1
2019,3-Arlington,Unknown,Anglo,Male,2,1,0.5
2019,3-Arlington,Unknown,Hispanic,Male,1,0,0
2019,3-Arlington,Unknown,Other,Unknown,1,0,0
2019,4-Tyler,18-64 with Disabilities,African American,Female,234,32,0.13675
2019,4-Tyler,18-64 with Disabilities,African American,Male,178,17,0.09551
2019,4-Tyler,18-64 with Disabilities,African American,Unknown,1,0,0
2019,4-Tyler,18-64 with Disabilities,Anglo,Female,624,87,0.13942
2019,4-Tyler,18-64 with Disabilities,Anglo,Male,515,72,0.13981
2019,4-Tyler,18-64 with Disabilities,Anglo,Unknown,4,1,0.25
2019,4-Tyler,18-64 with Disabilities,Asian,Female,2,0,0
2019,4-Tyler,18-64 with Disabilities,Hispanic,Female,31,0,0
2019,4-Tyler,18-64 with Disabilities,Hispanic,Male,32,4,0.125
2019,4-Tyler,18-64 with Disabilities,Hispanic,Unknown,1,0,0
2019,4-Tyler,18-64 with Disabilities,Native American,Female,2,1,0.5
2019,4-Tyler,18-64 with Disabilities,Native American,Male,1,0,0
2019,4-Tyler,18-64 with Disabilities,Other,Female,144,23,0.15972
2019,4-Tyler,18-64 with Disabilities,Other,Male,99,16,0.16162
2019,4-Tyler,18-64 with Disabilities,Other,Unknown,1,0,0
2019,4-Tyler,65 and Older,African American,Female,335,61,0.18209
2019,4-Tyler,65 and Older,African American,Male,216,29,0.13426
2019,4-Tyler,65 and Older,African American,Unknown,3,0,0
2019,4-Tyler,65 and Older,Anglo,Female,"1,305",208,0.15939
2019,4-Tyler,65 and Older,Anglo,Male,873,133,0.15235
2019,4-Tyler,65 and Older,Anglo,Unknown,11,3,0.27273
2019,4-Tyler,65 and Older,Asian,Female,5,0,0
2019,4-Tyler,65 and Older,Asian,Male,3,0,0
2019,4-Tyler,65 and Older,Hispanic,Female,35,11,0.31429
2019,4-Tyler,65 and Older,Hispanic,Male,35,5,0.14286
2019,4-Tyler,65 and Older,Native American,Female,1,0,0
2019,4-Tyler,65 and Older,Native American,Male,3,2,0.66667
2019,4-Tyler,65 and Older,Other,Female,305,39,0.12787
2019,4-Tyler,65 and Older,Other,Male,204,21,0.10294
2019,4-Tyler,65 and Older,Other,Unknown,2,0,0
2019,4-Tyler,Under 18,Anglo,Female,1,0,0
2019,4-Tyler,Under 18,Other,Female,1,0,0
2019,4-Tyler,Unknown,African American,Female,1,0,0
2019,5-Beaumont,18-64 with Disabilities,African American,Female,247,27,0.10931
2019,5-Beaumont,18-64 with Disabilities,African American,Male,228,30,0.13158
2019,5-Beaumont,18-64 with Disabilities,African American,Unknown,3,0,0
2019,5-Beaumont,18-64 with Disabilities,Anglo,Female,451,48,0.10643
2019,5-Beaumont,18-64 with Disabilities,Anglo,Male,356,51,0.14326
2019,5-Beaumont,18-64 with Disabilities,Anglo,Unknown,5,1,0.2
2019,5-Beaumont,18-64 with Disabilities,Asian,Male,3,0,0
2019,5-Beaumont,18-64 with Disabilities,Hispanic,Female,35,3,0.08571
2019,5-Beaumont,18-64 with Disabilities,Hispanic,Male,26,2,0.07692
2019,5-Beaumont,18-64 with Disabilities,Native American,Female,1,1,1
2019,5-Beaumont,18-64 with Disabilities,Other,Female,165,27,0.16364
2019,5-Beaumont,18-64 with Disabilities,Other,Male,119,19,0.15966
2019,5-Beaumont,18-64 with Disabilities,Other,Unknown,4,2,0.5
2019,5-Beaumont,65 and Older,African American,Female,375,59,0.15733
2019,5-Beaumont,65 and Older,African American,Male,246,36,0.14634
2019,5-Beaumont,65 and Older,African American,Unknown,5,1,0.2
2019,5-Beaumont,65 and Older,Anglo,Female,853,141,0.1653
2019,5-Beaumont,65 and Older,Anglo,Male,573,88,0.15358
2019,5-Beaumont,65 and Older,Anglo,Unknown,11,3,0.27273
2019,5-Beaumont,65 and Older,Asian,Female,2,0,0
2019,5-Beaumont,65 and Older,Asian,Male,3,2,0.66667
2019,5-Beaumont,65 and Older,Hispanic,Female,35,4,0.11429
2019,5-Beaumont,65 and Older,Hispanic,Male,26,5,0.19231
2019,5-Beaumont,65 and Older,Native American,Female,3,0,0
2019,5-Beaumont,65 and Older,Native American,Male,1,0,0
2019,5-Beaumont,65 and Older,Other,Female,294,46,0.15646
2019,5-Beaumont,65 and Older,Other,Male,152,25,0.16447
2019,5-Beaumont,65 and Older,Other,Unknown,5,1,0.2
2019,5-Beaumont,Under 18,Anglo,Male,1,1,1
2019,5-Beaumont,Unknown,Anglo,Female,1,0,0
2019,6-Houston,18-64 with Disabilities,African American,Female,"1,321",182,0.13777
2019,6-Houston,18-64 with Disabilities,African American,Male,"1,080",135,0.125
2019,6-Houston,18-64 with Disabilities,African American,Unknown,25,2,0.08
2019,6-Houston,18-64 with Disabilities,Anglo,Female,"1,339",163,0.12173
2019,6-Houston,18-64 with Disabilities,Anglo,Male,"1,095",167,0.15251
2019,6-Houston,18-64 with Disabilities,Anglo,Unknown,10,3,0.3
2019,6-Houston,18-64 with Disabilities,Asian,Female,52,4,0.07692
2019,6-Houston,18-64 with Disabilities,Asian,Male,49,0,0
2019,6-Houston,18-64 with Disabilities,Asian,Unknown,1,0,0
2019,6-Houston,18-64 with Disabilities,Hispanic,Female,460,58,0.12609
2019,6-Houston,18-64 with Disabilities,Hispanic,Male,453,47,0.10375
2019,6-Houston,18-64 with Disabilities,Hispanic,Unknown,4,1,0.25
2019,6-Houston,18-64 with Disabilities,Native American,Female,7,0,0
2019,6-Houston,18-64 with Disabilities,Native American,Male,5,0,0
2019,6-Houston,18-64 with Disabilities,Native American,Unknown,1,0,0
2019,6-Houston,18-64 with Disabilities,Other,Female,665,124,0.18647
2019,6-Houston,18-64 with Disabilities,Other,Male,491,86,0.17515
2019,6-Houston,18-64 with Disabilities,Other,Unknown,10,1,0.1
2019,6-Houston,65 and Older,African American,Female,"1,962",354,0.18043
2019,6-Houston,65 and Older,African American,Male,"1,146",187,0.16318
2019,6-Houston,65 and Older,African American,Unknown,18,6,0.33333
2019,6-Houston,65 and Older,Anglo,Female,"3,130",523,0.16709
2019,6-Houston,65 and Older,Anglo,Male,"1,998",314,0.15716
2019,6-Houston,65 and Older,Anglo,Unknown,18,6,0.33333
2019,6-Houston,65 and Older,Asian,Female,104,14,0.13462
2019,6-Houston,65 and Older,Asian,Male,83,7,0.08434
2019,6-Houston,65 and Older,Asian,Unknown,2,0,0
2019,6-Houston,65 and Older,Hispanic,Female,839,133,0.15852
2019,6-Houston,65 and Older,Hispanic,Male,551,65,0.11797
2019,6-Houston,65 and Older,Hispanic,Unknown,11,2,0.18182
2019,6-Houston,65 and Older,Native American,Female,9,2,0.22222
2019,6-Houston,65 and Older,Native American,Male,12,3,0.25
2019,6-Houston,65 and Older,Other,Female,"1,490",241,0.16174
2019,6-Houston,65 and Older,Other,Male,836,119,0.14234
2019,6-Houston,65 and Older,Other,Unknown,36,2,0.05556
2019,6-Houston,Under 18,African American,Female,1,0,0
2019,6-Houston,Under 18,African American,Male,1,0,0
2019,6-Houston,Under 18,Anglo,Male,1,0,0
2019,6-Houston,Under 18,Other,Male,1,0,0
2019,6-Houston,Unknown,African American,Female,1,1,1
2019,6-Houston,Unknown,Unknown,Unknown,2,0,0
2019,7-Austin,18-64 with Disabilities,African American,Female,434,69,0.15899
2019,7-Austin,18-64 with Disabilities,African American,Male,367,49,0.13351
2019,7-Austin,18-64 with Disabilities,African American,Unknown,1,0,0
2019,7-Austin,18-64 with Disabilities,Anglo,Female,"1,025",126,0.12293
2019,7-Austin,18-64 with Disabilities,Anglo,Male,837,120,0.14337
2019,7-Austin,18-64 with Disabilities,Anglo,Unknown,8,1,0.125
2019,7-Austin,18-64 with Disabilities,Asian,Female,29,7,0.24138
2019,7-Austin,18-64 with Disabilities,Asian,Male,10,1,0.1
2019,7-Austin,18-64 with Disabilities,Hispanic,Female,303,52,0.17162
2019,7-Austin,18-64 with Disabilities,Hispanic,Male,245,21,0.08571
2019,7-Austin,18-64 with Disabilities,Hispanic,Unknown,2,0,0
2019,7-Austin,18-64 with Disabilities,Native American,Female,6,1,0.16667
2019,7-Austin,18-64 with Disabilities,Native American,Male,3,2,0.66667
2019,7-Austin,18-64 with Disabilities,Native American,Unknown,1,1,1
2019,7-Austin,18-64 with Disabilities,Other,Female,332,59,0.17771
2019,7-Austin,18-64 with Disabilities,Other,Male,252,38,0.15079
2019,7-Austin,18-64 with Disabilities,Other,Unknown,4,0,0
2019,7-Austin,65 and Older,African American,Female,515,106,0.20583
2019,7-Austin,65 and Older,African American,Male,389,66,0.16967
2019,7-Austin,65 and Older,African American,Unknown,7,2,0.28571
2019,7-Austin,65 and Older,Anglo,Female,"2,262",432,0.19098
2019,7-Austin,65 and Older,Anglo,Male,"1,572",264,0.16794
2019,7-Austin,65 and Older,Anglo,Unknown,32,9,0.28125
2019,7-Austin,65 and Older,Asian,Female,59,9,0.15254
2019,7-Austin,65 and Older,Asian,Male,16,1,0.0625
2019,7-Austin,65 and Older,Hispanic,Female,454,81,0.17841
2019,7-Austin,65 and Older,Hispanic,Male,314,48,0.15287
2019,7-Austin,65 and Older,Hispanic,Unknown,2,2,1
2019,7-Austin,65 and Older,Native American,Female,6,2,0.33333
2019,7-Austin,65 and Older,Native American,Male,1,0,0
2019,7-Austin,65 and Older,Other,Female,729,123,0.16872
2019,7-Austin,65 and Older,Other,Male,406,49,0.12069
2019,7-Austin,65 and Older,Other,Unknown,17,3,0.17647
2019,7-Austin,Under 18,African American,Female,1,0,0
2019,7-Austin,Unknown,Anglo,Female,1,0,0
2019,7-Austin,Unknown,Other,Male,1,0,0
2019,7-Austin,Unknown,Unknown,Unknown,1,0,0
2019,8-San Antonio,18-64 with Disabilities,African American,Female,251,43,0.17131
2019,8-San Antonio,18-64 with Disabilities,African American,Male,188,28,0.14894
2019,8-San Antonio,18-64 with Disabilities,Anglo,Female,750,110,0.14667
2019,8-San Antonio,18-64 with Disabilities,Anglo,Male,576,79,0.13715
2019,8-San Antonio,18-64 with Disabilities,Anglo,Unknown,7,4,0.57143
2019,8-San Antonio,18-64 with Disabilities,Asian,Female,11,2,0.18182
2019,8-San Antonio,18-64 with Disabilities,Asian,Male,10,0,0
2019,8-San Antonio,18-64 with Disabilities,Asian,Unknown,1,0,0
2019,8-San Antonio,18-64 with Disabilities,Hispanic,Female,890,128,0.14382
2019,8-San Antonio,18-64 with Disabilities,Hispanic,Male,829,109,0.13148
2019,8-San Antonio,18-64 with Disabilities,Hispanic,Unknown,9,3,0.33333
2019,8-San Antonio,18-64 with Disabilities,Native American,Female,7,0,0
2019,8-San Antonio,18-64 with Disabilities,Native American,Male,1,0,0
2019,8-San Antonio,18-64 with Disabilities,Other,Female,352,70,0.19886
2019,8-San Antonio,18-64 with Disabilities,Other,Male,303,52,0.17162
2019,8-San Antonio,18-64 with Disabilities,Other,Unknown,6,2,0.33333
2019,8-San Antonio,65 and Older,African American,Female,303,67,0.22112
2019,8-San Antonio,65 and Older,African American,Male,194,29,0.14948
2019,8-San Antonio,65 and Older,African American,Unknown,2,1,0.5
2019,8-San Antonio,65 and Older,Anglo,Female,"1,679",298,0.17749
2019,8-San Antonio,65 and Older,Anglo,Male,"1,140",162,0.14211
2019,8-San Antonio,65 and Older,Anglo,Unknown,18,11,0.61111
2019,8-San Antonio,65 and Older,Asian,Female,49,8,0.16327
2019,8-San Antonio,65 and Older,Asian,Male,10,1,0.1
2019,8-San Antonio,65 and Older,Asian,Unknown,1,0,0
2019,8-San Antonio,65 and Older,Hispanic,Female,"1,776",276,0.15541
2019,8-San Antonio,65 and Older,Hispanic,Male,"1,079",146,0.13531
2019,8-San Antonio,65 and Older,Hispanic,Unknown,20,7,0.35
2019,8-San Antonio,65 and Older,Native American,Female,2,0,0
2019,8-San Antonio,65 and Older,Native American,Male,2,0,0
2019,8-San Antonio,65 and Older,Other,Female,804,115,0.14303
2019,8-San Antonio,65 and Older,Other,Male,481,55,0.11435
2019,8-San Antonio,65 and Older,Other,Unknown,16,2,0.125
2019,8-San Antonio,Under 18,Hispanic,Male,1,0,0
2019,8-San Antonio,Unknown,Asian,Female,1,1,1
2019,8-San Antonio,Unknown,Other,Female,2,0,0
2019,9-Midland,18-64 with Disabilities,African American,Female,49,10,0.20408
2019,9-Midland,18-64 with Disabilities,African American,Male,33,6,0.18182
2019,9-Midland,18-64 with Disabilities,Anglo,Female,275,45,0.16364
2019,9-Midland,18-64 with Disabilities,Anglo,Male,240,38,0.15833
2019,9-Midland,18-64 with Disabilities,Anglo,Unknown,2,0,0
2019,9-Midland,18-64 with Disabilities,Hispanic,Female,172,32,0.18605
2019,9-Midland,18-64 with Disabilities,Hispanic,Male,155,26,0.16774
2019,9-Midland,18-64 with Disabilities,Native American,Male,1,0,0
2019,9-Midland,18-64 with Disabilities,Other,Female,121,25,0.20661
2019,9-Midland,18-64 with Disabilities,Other,Male,84,17,0.20238
2019,9-Midland,18-64 with Disabilities,Other,Unknown,1,0,0
2019,9-Midland,65 and Older,African American,Female,65,16,0.24615
2019,9-Midland,65 and Older,African American,Male,41,9,0.21951
2019,9-Midland,65 and Older,African American,Unknown,3,1,0.33333
2019,9-Midland,65 and Older,Anglo,Female,541,99,0.18299
2019,9-Midland,65 and Older,Anglo,Male,393,83,0.2112
2019,9-Midland,65 and Older,Anglo,Unknown,5,4,0.8
2019,9-Midland,65 and Older,Asian,Female,6,0,0
2019,9-Midland,65 and Older,Hispanic,Female,326,51,0.15644
2019,9-Midland,65 and Older,Hispanic,Male,228,35,0.15351
2019,9-Midland,65 and Older,Hispanic,Unknown,2,1,0.5
2019,9-Midland,65 and Older,Native American,Female,1,0,0
2019,9-Midland,65 and Older,Other,Female,177,32,0.18079
2019,9-Midland,65 and Older,Other,Male,124,20,0.16129
2019,9-Midland,65 and Older,Other,Unknown,1,0,0
2019,9-Midland,Under 18,Other,Male,1,0,0
2019,9-Midland,Unknown,Other,Female,1,0,0
2019,10-El Paso,18-64 with Disabilities,African American,Female,28,3,0.10714
2019,10-El Paso,18-64 with Disabilities,African American,Male,32,5,0.15625
2019,10-El Paso,18-64 with Disabilities,Anglo,Female,119,11,0.09244
2019,10-El Paso,18-64 with Disabilities,Anglo,Male,98,20,0.20408
2019,10-El Paso,18-64 with Disabilities,Asian,Female,3,0,0
2019,10-El Paso,18-64 with Disabilities,Asian,Male,4,1,0.25
2019,10-El Paso,18-64 with Disabilities,Hispanic,Female,403,52,0.12903
2019,10-El Paso,18-64 with Disabilities,Hispanic,Male,371,51,0.13747
2019,10-El Paso,18-64 with Disabilities,Hispanic,Unknown,6,4,0.66667
2019,10-El Paso,18-64 with Disabilities,Native American,Male,1,0,0
2019,10-El Paso,18-64 with Disabilities,Other,Female,87,17,0.1954
2019,10-El Paso,18-64 with Disabilities,Other,Male,73,20,0.27397
2019,10-El Paso,18-64 with Disabilities,Other,Unknown,1,0,0
2019,10-El Paso,65 and Older,African American,Female,39,6,0.15385
2019,10-El Paso,65 and Older,African American,Male,34,7,0.20588
2019,10-El Paso,65 and Older,Anglo,Female,258,40,0.15504
2019,10-El Paso,65 and Older,Anglo,Male,219,33,0.15068
2019,10-El Paso,65 and Older,Anglo,Unknown,3,1,0.33333
2019,10-El Paso,65 and Older,Asian,Female,19,6,0.31579
2019,10-El Paso,65 and Older,Asian,Male,5,2,0.4
2019,10-El Paso,65 and Older,Hispanic,Female,"1,042",141,0.13532
2019,10-El Paso,65 and Older,Hispanic,Male,630,89,0.14127
2019,10-El Paso,65 and Older,Hispanic,Unknown,11,4,0.36364
2019,10-El Paso,65 and Older,Native American,Female,1,0,0
2019,10-El Paso,65 and Older,Native American,Male,2,0,0
2019,10-El Paso,65 and Older,Other,Female,220,34,0.15455
2019,10-El Paso,65 and Older,Other,Male,134,17,0.12687
2019,10-El Paso,65 and Older,Other,Unknown,5,0,0
2019,10-El Paso,Under 18,Hispanic,Female,1,0,0
2019,11-Edinburg,18-64 with Disabilities,African American,Female,35,7,0.2
2019,11-Edinburg,18-64 with Disabilities,African American,Male,35,5,0.14286
2019,11-Edinburg,18-64 with Disabilities,Anglo,Female,331,60,0.18127
2019,11-Edinburg,18-64 with Disabilities,Anglo,Male,254,45,0.17717
2019,11-Edinburg,18-64 with Disabilities,Anglo,Unknown,1,0,0
2019,11-Edinburg,18-64 with Disabilities,Asian,Female,2,1,0.5
2019,11-Edinburg,18-64 with Disabilities,Asian,Male,3,2,0.66667
2019,11-Edinburg,18-64 with Disabilities,Hispanic,Female,979,152,0.15526
2019,11-Edinburg,18-64 with Disabilities,Hispanic,Male,"1,066",121,0.11351
2019,11-Edinburg,18-64 with Disabilities,Hispanic,Unknown,12,2,0.16667
2019,11-Edinburg,18-64 with Disabilities,Native American,Female,2,1,0.5
2019,11-Edinburg,18-64 with Disabilities,Native American,Male,1,0,0
2019,11-Edinburg,18-64 with Disabilities,Other,Female,193,35,0.18135
2019,11-Edinburg,18-64 with Disabilities,Other,Male,160,30,0.1875
2019,11-Edinburg,18-64 with Disabilities,Other,Unknown,7,0,0
2019,11-Edinburg,65 and Older,African American,Female,39,12,0.30769
2019,11-Edinburg,65 and Older,African American,Male,34,5,0.14706
2019,11-Edinburg,65 and Older,Anglo,Female,661,137,0.20726
2019,11-Edinburg,65 and Older,Anglo,Male,521,93,0.1785
2019,11-Edinburg,65 and Older,Anglo,Unknown,15,3,0.2
2019,11-Edinburg,65 and Older,Asian,Female,9,2,0.22222
2019,11-Edinburg,65 and Older,Asian,Male,3,0,0
2019,11-Edinburg,65 and Older,Hispanic,Female,"2,041",344,0.16854
2019,11-Edinburg,65 and Older,Hispanic,Male,"1,382",194,0.14038
2019,11-Edinburg,65 and Older,Hispanic,Unknown,22,5,0.22727
2019,11-Edinburg,65 and Older,Native American,Female,3,1,0.33333
2019,11-Edinburg,65 and Older,Native American,Male,3,0,0
2019,11-Edinburg,65 and Older,Other,Female,419,58,0.13842
2019,11-Edinburg,65 and Older,Other,Male,284,37,0.13028
2019,11-Edinburg,65 and Older,Other,Unknown,5,0,0
2019,11-Edinburg,Under 18,Asian,Male,1,0,0
2019,11-Edinburg,Under 18,Hispanic,Male,1,0,0
2019,Out of State,18-64 with Disabilities,Anglo,Female,4,1,0.25
2019,Out of State,18-64 with Disabilities,Anglo,Male,3,0,0
2019,Out of State,18-64 with Disabilities,Hispanic,Female,1,1,1
2019,Out of State,18-64 with Disabilities,Other,Male,1,0,0
2019,Out of State,65 and Older,African American,Female,1,0,0
2019,Out of State,65 and Older,African American,Male,2,0,0
2019,Out of State,65 and Older,Anglo,Female,8,3,0.375
2019,Out of State,65 and Older,Anglo,Male,3,0,0
2019,Out of State,65 and Older,Hispanic,Female,4,0,0
2019,Out of State,65 and Older,Hispanic,Male,2,0,0
2019,Out of State,65 and Older,Other,Female,1,0,0
2018,1-Lubbock,18-64 with Disability,African American,Female,243,66,0.2716
2018,1-Lubbock,18-64 with Disability,African American,Male,165,42,0.25455
2018,1-Lubbock,18-64 with Disability,African American,Unknown,7,3,0.42857
2018,1-Lubbock,18-64 with Disability,Anglo,Female,518,105,0.2027
2018,1-Lubbock,18-64 with Disability,Anglo,Male,437,79,0.18078
2018,1-Lubbock,18-64 with Disability,Anglo,Unknown,14,2,0.14286
2018,1-Lubbock,18-64 with Disability,Asian,Female,3,0,0
2018,1-Lubbock,18-64 with Disability,Asian,Male,3,0,0
2018,1-Lubbock,18-64 with Disability,Hispanic,Female,271,46,0.16974
2018,1-Lubbock,18-64 with Disability,Hispanic,Male,228,34,0.14912
2018,1-Lubbock,18-64 with Disability,Hispanic,Unknown,6,0,0
2018,1-Lubbock,18-64 with Disability,Native American,Female,6,1,0.16667
2018,1-Lubbock,18-64 with Disability,Native American,Male,3,0,0
2018,1-Lubbock,18-64 with Disability,Other,Female,195,66,0.33846
2018,1-Lubbock,18-64 with Disability,Other,Male,128,38,0.29688
2018,1-Lubbock,18-64 with Disability,Other,Unknown,9,1,0.11111
2018,1-Lubbock,65 and Older,African American,Female,172,49,0.28488
2018,1-Lubbock,65 and Older,African American,Male,129,46,0.35659
2018,1-Lubbock,65 and Older,African American,Unknown,7,5,0.71429
2018,1-Lubbock,65 and Older,Anglo,Female,881,152,0.17253
2018,1-Lubbock,65 and Older,Anglo,Male,596,112,0.18792
2018,1-Lubbock,65 and Older,Anglo,Unknown,22,8,0.36364
2018,1-Lubbock,65 and Older,Asian,Female,9,2,0.22222
2018,1-Lubbock,65 and Older,Asian,Male,5,0,0
2018,1-Lubbock,65 and Older,Asian,Unknown,1,1,1
2018,1-Lubbock,65 and Older,Hispanic,Female,448,83,0.18527
